NPI,Gender,State,Region,Credentials,Specialty,Specialty,Opioids,OO.Av,N.Opioids,NO.Av,Opioid.Prescriber,,,,,
1003002320,M,MS,S,D.M.D. P.A.,Dentist,DDS,36,1,46,1,1,,,,,
1003004771,F,CO,W,M.D.,Pulmonary Disease,MD,0,0,349,1,0,,,,,
1003008475,F,GA,S,NP,Nurse Practitioner,NP,0,0,139,1,1,,,,,
1003009630,M,NY,NE,MD,Emergency Medicine,MD,91,1,141,1,1,,,,,
1003016270,M,CT,NE,M.D.,Family Practice,MD,247,1,2144,1,1,,,,,
1003019019,M,MO,MW,MD,Ophthalmology,MD,0,0,381,1,0,,,,,
1003022872,M,CA,W,DDS,Dentist,DDS,0,0,14,1,0,,,,,
1003023193,M,TX,S,"MED, LPC",Counselor,MD,0,0,13,1,0,,,,,
1003024894,M,OH,MW,D.O.,Orthopedic Surgery,DO,89,1,62,1,1,,,,,
1003026055,F,NC,S,"M.D, PHD",Endocrinology,MD,0,0,1300,1,0,,,,,
1003026907,M,OR,W,,Dentist,DDS,0,0,18,1,0,,,,,
1003027038,M,TX,S,D.O.,Otolaryngology,DO,0,0,133,1,0,,,,,
1003034927,M,IL,MW,M.D.,Ophthalmology,MD,0,0,621,1,0,,,,,
1003037979,M,PA,NE,D.M.D.,Dentist,DDS,18,1,51,1,1,,,,,
1003038332,M,OR,W,MD,Internal Medicine,MD,12,1,347,1,1,,,,,
1003042805,F,GA,S,MD,Family Practice,MD,105,1,1845,1,1,,,,,
1003043324,F,TX,S,M.D.,Family Practice,MD,72,1,919,1,1,,,,,
1003043480,F,FL,S,ARNP,Nurse Practitioner,NP,12,1,0,0,1,,,,,
1003043928,F,PA,NE,M.D.,Emergency Medicine,MD,12,1,57,1,1,,,,,
1003043993,F,CA,W,M.D.,Psychiatry,MD,0,0,1909,1,0,,,,,
1003049925,F,ID,W,FNP,Nurse Practitioner,NP,119,1,1920,1,1,,,,,
1003053554,M,CO,W,PA-C,Physician Assistant,PA,24,1,170,1,1,,,,,
1003053984,M,VA,S,D.D.S.,Dentist,DDS,17,1,82,1,1,,,,,
1003059981,F,NY,NE,D.O,Internal Medicine,DO,0,0,73,1,0,,,,,
1003065046,F,GA,S,R PA-C,Physician Assistant,PA,0,0,12,1,0,,,,,
1003067059,M,SD,MW,PA-C,Physician Assistant,PA,23,1,28,1,1,,,,,
1003073750,F,TX,S,N.P.,Nurse Practitioner,NP,0,0,135,1,0,,,,,
1003073784,F,NY,NE,M.D,Internal Medicine,MD,12,1,55,1,1,,,,,
1003077058,M,FL,S,M.D.,Emergency Medicine,MD,24,1,0,0,1,,,,,
1003079773,M,SD,MW,"MD, PHD",Dermatology,MD,24,1,654,1,1,,,,,
1003083304,F,NC,S,M.D.,Emergency Medicine,MD,13,1,25,1,1,,,,,
1003085507,F,TX,S,M.D.,Specialist,MD,0,0,1407,1,0,,,,,
1003087891,M,CA,W,M.D.,Family Practice,MD,23,1,117,1,1,,,,,
1003088840,F,CO,W,M.D.,Family Practice,MD,26,1,110,1,1,,,,,
1003089665,M,NY,NE,"MD, MPH",Neurology,MD,0,0,132,1,0,,,,,
1003089905,F,WV,S,FNP-BC,Nurse Practitioner,NP,152,1,5183,1,1,,,,,
1003090358,M,MN,MW,M.D.,Critical Care (Intensivists),MD,0,0,458,1,0,,,,,
1003090986,F,NH,NE,MD,Infectious Disease,MD,303,1,2707,1,1,,,,,
1003091745,M,NY,NE,D.D.S.,Dentist,DDS,0,0,85,1,1,,,,,
1003093824,F,WI,MW,MD,Internal Medicine,MD,0,0,139,1,0,,,,,
1003095654,M,AR,S,"MD, MPH",Cardiology,MD,0,0,490,1,0,,,,,
1003096587,M,FL,S,M.D.,Internal Medicine,MD,98,1,28726,1,1,,,,,
