"","FTHG","FTAG","HTHG","HTAG","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","L","D","W"
"1",1,0,1,0,24,5,14,4,11,8,7,5,0,0,0,0,0,0,1
"2",3,1,3,0,14,8,8,2,13,12,4,3,1,2,0,0,0,0,1
"3",2,3,1,1,10,15,5,11,11,9,3,5,2,2,0,0,1,0,0
"4",2,1,1,1,11,12,6,6,10,9,5,6,3,0,0,0,0,0,1
"5",2,1,0,0,14,8,10,5,11,12,7,9,1,2,0,0,0,0,1
"6",0,1,0,0,6,14,3,8,13,12,1,8,0,2,0,0,1,0,0
"7",2,1,2,0,15,22,8,9,14,11,6,10,2,1,0,0,0,0,1
"8",4,2,0,0,14,13,10,8,8,11,7,8,0,1,0,0,0,0,1
"9",4,0,3,0,18,12,11,8,10,6,8,3,0,1,0,0,0,0,1
"10",1,1,1,1,18,11,12,4,15,11,6,6,3,0,0,0,0,1,0
"11",1,1,1,1,12,7,5,4,11,15,6,3,0,1,0,0,0,1,0
"12",1,0,1,0,5,15,2,6,14,6,1,5,2,0,0,0,0,0,1
"13",2,1,0,0,16,9,8,4,10,12,14,3,2,1,0,0,0,0,1
"14",1,0,0,0,10,9,8,4,8,13,4,6,1,2,0,0,0,0,1
"15",3,2,1,0,8,5,2,2,15,5,2,8,1,0,0,0,0,0,1
"16",1,2,0,0,18,12,11,7,12,12,12,6,1,2,0,0,1,0,0
"17",1,2,0,0,14,9,4,7,11,14,11,5,3,1,0,0,1,0,0
"18",3,0,0,0,14,3,9,0,12,16,6,3,0,2,0,1,0,0,1
"19",0,1,0,1,10,7,6,3,13,17,7,7,1,2,0,0,1,0,0
"20",0,1,0,1,13,12,6,7,11,11,4,3,2,2,0,0,1,0,0
"21",3,0,2,0,20,4,14,2,12,11,12,1,2,2,0,0,0,0,1
"22",0,0,0,0,18,12,9,7,18,16,7,5,2,2,0,0,0,1,0
"23",0,3,0,2,16,6,7,5,5,11,4,3,1,0,0,0,1,0,0
"24",0,5,0,2,10,8,5,5,18,12,7,3,1,0,0,0,1,0,0
"25",2,1,1,0,21,7,12,2,14,18,4,5,2,4,0,1,0,0,1
"26",4,1,2,1,11,12,6,7,14,21,10,4,1,5,0,0,0,0,1
"27",0,0,0,0,5,8,2,3,9,13,5,8,0,2,0,0,0,1,0
"28",1,1,1,1,12,6,3,6,10,13,5,8,3,0,0,0,0,1,0
"29",0,3,0,1,10,9,4,8,20,11,3,3,4,2,0,0,1,0,0
"30",0,4,0,2,10,17,3,10,8,8,5,5,1,1,0,0,1,0,0
