months,enplanemens
1,2.48
2,2.30
3,2.89
4,2.80
5,2.95
6,3.04
7,3.25
8,3.15
9,2.74
10,2.93
11,2.74
12,2.85
13,2.63
14,2.49
15,3.01
16,2.87
17,3.07
18,3.20
19,3.33
20,3.20
21,2.88
22,2.99
23,2.85
24,2.94
25,2.72
26,2.50
27,3.11
28,3.04
29,3.17
30,3.33
31,3.46
32,3.37
33,2.83
34,3.13
35,2.98
36,3.03
37,2.83
38,2.69
39,3.21
40,3.07
41,3.27
42,3.40
43,3.57
44,3.46
45,3.05
46,3.24
47,3.05
48,3.16
49,2.94
50,2.80
51,3.32
52,3.18
53,3.39
54,3.52
55,3.68
56,3.57
57,3.16
58,3.35
59,3.16
60,3.27
61,3.05
62,2.91
63,3.43
64,3.30
65,3.50
66,3.63
67,3.79
68,3.68
69,3.27
70,3.46
71,3.27
72,3.38
73,3.16
74,3.02
75,3.55
76,3.41
77,3.61
78,3.74
79,3.90
80,3.80
81,3.38
82,3.57
83,3.39
84,3.49
85,3.27
86,3.14
87,3.66
88,3.52
89,3.72
90,3.85
91,4.01
92,3.91
93,3.50
94,3.69
95,3.50
96,3.61
97,3.38
98,3.25
99,3.77
100,3.63
101,3.83
102,3.96
103,4.13
104,4.02
105,3.61
106,3.80
107,3.61
108,3.72
